갔/EP
것/EP
겄/EP
겟/EP
겠/EP
긋/EP
댔/EP
더/EP
데/EP
드/EP
랬/EP
렷/EP
리/EP
사오/EP
사옵/EP
샤/EP
시/EP
시겠/EP
씨/EP
아시/EP
앗/EP
았/EP
았았/EP
았었/EP
앴/EP
얏/EP
얐/EP
어/EP
엇/EP
었/EP
었었/EP
었었었/EP
었었었었/EP
엊/EP
엿/EP
였/EP
였었/EP
오/EP
옵/EP
옵시/EP
우/EP
으/EP
으랬/EP
으리/EP
으시/EP
으오/EP
으옵/EP
이/EP
있/EP
자옵/EP
잡/EP
/undefined
