가/VV
가까워/VV
가깝/VV
가꾸/VV
가누/VV
가는귀먹/VV
가늘/VV
가다듬/VV
가닥지/VV
가닿/VV
가동그리/VV
가두/VV
가득차/VV
가라/VV
가라사대/VV
가라안치/VV
가라앉/VV
가라앉히/VV
가랍/VV
가랑거리/VV
가려내/VV
가려먹/VV
가려보/VV
가려뽑/VV
가려워하/VV
가로/VV
가로건너/VV
가로걸리/VV
가로놓/VV
가로놓이/VV
가로눕/VV
가로눕히/VV
가로뉘/VV
가로막/VV
가로막히/VV
가로맡/VV
가로새/VV
가로잡/VV
가로젓/VV
가로젖/VV
가로지르/VV
가로질리/VV
가로채/VV
가로채이/VV
가로치/VV
가르/VV
가르릉거리/VV
가르치/VV
가르키/VV
가리/VV
가리오/VV
가리와/VV
가리우/VV
가리치/VV
가리키/VV
가만두/VV
가만있/VV
가말/VV
가물/VV
가물가물거리/VV
가물거리/VV
가물대/VV
가물치/VV
가버리/VV
가보/VV
가빠지/VV
가새지르/VV
가스러지/VV
가시/VV
가시잖/VV
가위눌리/VV
가져가/VV
가져다주/VV
가져오/VV
가져주/VV
가지/VV
가지가/VV
가하/VV
각/VV
각지/VV
간/VV
간당거리/VV
간댕이/VV
간동그리/VV
간드랑거리/VV
간드랑대/VV
간종그리/VV
간지럽히/VV
간지르/VV
간질/VV
간질거리/VV
간질이/VV
간추리/VV
간하/VV
갇히/VV
갈/VV
갈고/VV
갈고닦/VV
갈구/VV
갈기/VV
갈끼/VV
갈등하/VV
갈라/VV
갈라내/VV
갈라놓/VV
갈라뜨리/VV
갈라붙이/VV
갈라서/VV
갈라앉/VV
갈라지/VV
갈라치/VV
갈래지/VV
갈르/VV
갈리/VV
갈마들/VV
갈서/VV
갈아끼우/VV
갈아대/VV
갈아매/VV
갈아먹/VV
갈아부치/VV
갈아붙이/VV
갈아엎/VV
갈아입/VV
갈아입히/VV
갈아주/VV
갈아치/VV
갈아치우/VV
갈아타/VV
갈앉/VV
갈치/VV
갈키/VV
갉/VV
갉아먹/VV
갉작거리/VV
갋/VV
감/VV
감겨들/VV
감기/VV
감돌/VV
감빨/VV
감싸/VV
감싸안/VV
감싸이/VV
감아올리/VV
감아쥐/VV
감아차/VV
감잡히/VV
감추/VV
감추리/VV
감추이/VV
감치/VV
감하/VV
값나가/VV
값하/VV
갓나/VV
갓들어오/VV
갔다오/VV
갔잖/VV
강그러지/VV
강조하/VV
강하/VV
갖/VV
갖고오/VV
갖다놓/VV
갖다대/VV
갖다두/VV
갖다바치/VV
갖다버리/VV
갖다붓/VV
갖다주/VV
갖추/VV
갖히/VV
같/VV
같아지/VV
같애/VV
같히/VV
갚/VV
개/VV
개기/VV
개리/VV
개않/VV
개올리/VV
개웃거리/VV
개이/VV
개지/VV
개키/VV
갸우뚱거리/VV
갸웃거리/VV
갸웃대/VV
갸웃하/VV
거/VV
거꾸/VV
거꾸러뜨리/VV
거꾸러지/VV
거꾸리어지/VV
거나리/VV
거느리/VV
거닐/VV
거두/VV
거두어들이/VV
거두우/VV
거둬들이/VV
거둬주/VV
거드럭거리/VV
거들/VV
거들대/VV
거들떠보/VV
거들뜨/VV
거들먹거리/VV
거들먹대/VV
거듭나/VV
거르/VV
거르렁거리/VV
거리/VV
거리끼/VV
거머잡/VV
거머잡히/VV
거머쥐/VV
거머채/VV
거스르/VV
거스리/VV
거슬러가/VV
거슬르/VV
거슬리/VV
거우/VV
거우러나지/VV
거울삼/VV
거저먹/VV
거지/VV
거쳐가/VV
거치/VV
거치적거리/VV
거칠어지/VV
거하/VV
건내/VV
건내주/VV
건너/VV
건너가/VV
건너다니/VV
건너다보/VV
건너다보이/VV
건너뛰/VV
건너보/VV
건너서/VV
건너오/VV
건너지르/VV
건네/VV
건네받/VV
건네오/VV
건네이/VV
건네주/VV
건느/VV
건드리/VV
건들/VV
건들거리/VV
건들대/VV
건들리/VV
건들이/VV
건디/VV
건디리/VV
건지/VV
건혼나/VV
걷/VV
걷곳/VV
걷몰/VV
걷어내/VV
걷어부치/VV
