가능/NNG
역/NNG
가락/NNG
시장/NNG
가산/NNP
단지/NNG
가수원/NNP
가야/NNP
가양/NNP
가좌/NNP
가천/NNP
가평/NNP
각계/NNP
각산/NNP
간석/NNP
간석/NNG
오/NNG
거리/NNG
간치/NNG
갈마/NNP
갈매/NNP
감곡/NNP
감삼/NNP
감전/NNP
갑천/NNP
갑현/NNP
강경/NNP
강남/NNP
강동/NNP
강릉/NNP
강매/NNP
강변/NNG
강서/NNP
강촌/NNP
개금/NNP
개롱/NNP
개봉/NNP
개운/NNP
개정/NNP
개태/NNP
사/NNG
개포/NNP
개화/NNP
거여/NNP
거제/NNP
거촌/NNP
건대/NNP
입구/NNG
건들바위/NNP
건천/NNP
검암/NNP
경기/NNG
도청/NNG
북부/NNG
청사/NNG
경대/NNP
병원/NNP
경마/NNG
공원/NNG
경복/NNG
경산/NNP
경성/NNP
/SC
부경/NNP
경인/NNG
교대/NNP
경/NNG
전철/NNG
의정부/NNP
경주/NNP
경찰/NNG
병원/NNG
경화/NNP
계룡/NNP
계명/NNG
대/NNG
계산/NNP
계양/NNP
고덕/NNP
고려대/NNP
고막원/NNP
고명/NNP
고모/NNP
고사리/NNP
고산/NNP
고속/NNG
터미널/NNG
고잔/NNP
고진/NNG
고촌/NNP
고한/NNP
곡산/NNP
곡성/NNP
곤제/NNG
골약/NNP
공단/NNP
공덕/NNP
공릉/NNP
공전/NNP
공항/NNG
공항/NNP
화물/NNG
과천/NNP
관악/NNP
관촌/NNP
광곡/NNP
광/NNG
나루/NNG
광명/NNP
광안/NNP
광양/NNP
광운/NNP
광주/NNP
광천/NNP
광화/NNG
문/NNG
광흥/NNG
창/NNG
괘법/NNP
괴동/NNP
괴목/NNP
괴정/NNP
구남/NNP
구례구/NNP
구로/NNG
디지털/NNG
구로/NNP
구룡/NNP
구리/NNP
구명/NNG
구미/NNP
구반포/NNP
구산/NNP
구서/NNP
구성/NNP
구암/NNP
구의/NNP
구일/NNP
구절/NNP
구파발/NNP
