가/NP
각각/NP
각자/NP
개/NP
갸/NP
걔/NP
걔네/NP
거/NP
거것/NP
거그/NP
거기/NP
거시기/NP
것/NP
게/NP
경/NP
고/NP
고개/NP
고거/NP
고것/NP
고게/NP
고곳/NP
고기/NP
고녀석/NP
고년/NP
고놈/NP
고따위/NP
고쪽/NP
공/NP
과인/NP
국토지기/NP
군/NP
궐녀/NP
궐자/NP
귀공/NP
귀관/NP
귀군/NP
귀하/NP
귀형/NP
그/NP
그거/NP
그것/NP
그게/NP
그곳/NP
그그서/NP
그기/NP
그날/NP
그네/NP
그녀/NP
그녀석/NP
그년/NP
그놈/NP
그눔/NP
그니/NP
그대/NP
그들/NP
그따위/NP
그때/NP
그려/NP
그분/NP
그시기/NP
그애/NP
그이/NP
그자/NP
그쪽/NP
그치/NP
그편/NP
기거/NP
기것/NP
나/NP
나남/NP
나아/NP
난리/NP
날/NP
남미/NP
내/NP
너/NP
너거/NP
너그/NP
너네/NP
너이/NP
너희/NP
널/NP
네/NP
네년/NP
네놈/NP
녀석/NP
녜/NP
노형/NP
놈/NP
누/NP
누가/NP
누구/NP
누구나/NP
누구누구/NP
누군가/NP
누나/NP
뉘/NP
뉘구/NP
뉘기/NP
느/NP
느그/NP
느네/NP
느이/NP
느희/NP
늬/NP
늬이/NP
니/NP
니네/NP
니년/NP
니놈/NP
다음/NP
당신/NP
대구/NP
댁/NP
더러/NP
데/NP
들/NP
디자이너/NP
막내/NP
말/NP
머/NP
머시기/NP
메/NP
메리/NP
모/NP
모두/NP
모모/NP
모시기/NP
목소리/NP
무삼/NP
무시기/NP
무어/NP
무엇/NP
뭐/NP
뭐뭐/NP
뭐이/NP
뭣/NP
믜/NP
믯/NP
민우/NP
민주리/NP
본관/NP
본인/NP
부분/NP
불초/NP
빈도/NP
빈승/NP
사람/NP
사투리/NP
사형/NP
삼/NP
서로/NP
선훈/NP
소관/NP
소녀/NP
소생/NP
소승/NP
소신/NP
소인/NP
소자/NP
소첩/NP
쇤네/NP
수정/NP
시디롬/NP
시생/NP
신/NP
신첩/NP
아내/NP
아무/NP
아무개/NP
아무거/NP
아무것/NP
아무데/NP
아저씨/NP
암/NP
애/NP
야/NP
얘/NP
얘기/NP
얘네/NP
어느것/NP
어데/NP
어드메/NP
어디/NP
어디어디/NP
어딪/NP
언제/NP
언젠/NP
언지/NP
얻/NP
얼마/NP
엇다/NP
엊그제/NP
여/NP
여게/NP
여그/NP
여긔/NP
여기/NP
여기저기/NP
여러분/NP
여자/NP
여쪽/NP
열/NP
옆/NP
예/NP
오대/NP
온도/NP
옹/NP
요/NP
요거/NP
요것/NP
요게/NP
요고/NP
요곳/NP
요기/NP
요녀석/NP
요년/NP
요노옴/NP
요놈/NP
요눔/NP
요따위/NP
요번/NP
요쪽/NP
우덜/NP
우리/NP
우릴/NP
우이/NP
운제/NP
울/NP
울리/NP
워디/NP
원제/NP
은제/NP
이/NP
이거/NP
이것/NP
이것저것/NP
이게/NP
이곳/NP
이기/NP
이날/NP
이네/NP
이녀/NP
이녀석/NP
이녁/NP
이년/NP
이노옴/NP
이놈/NP
이놈아/NP
이눔/NP
이들/NP
이따위/NP
이때/NP
이리/NP
이번/NP
이분/NP
이손/NP
이스라엘/NP
이이/NP
이자/NP
이쪽/NP
이치/NP
이편/NP
인도/NP
일/NP
임자/NP
자/NP
자것/NP
자긔/NP
자기/NP
자기네/NP
자기자신/NP
자네/NP
자신/NP
자체/NP
재/NP
쟈/NP
쟤/NP
쟤네/NP
저/NP
저거/NP
저것/NP
저게/NP
저곳/NP
저그/NP
저기/NP
저네/NP
저녀석/NP
저년/NP
저놈/NP
저따위/NP
저번/NP
저분/NP
저어기/NP
저어쪽/NP
저이/NP
저자/NP
저짜/NP
저쪽/NP
저치/NP
저편/NP
저희/NP
적십자기/NP
전/NP
전자/NP
절/NP
점수/NP
접때/NP
정도/NP
제/NP
제군/NP
제깐/NP
조/NP
조거/NP
조것/NP
조게/NP
조기/NP
조녀석/NP
조년/NP
조놈/NP
조따위/NP
조오기/NP
조쪽/NP
즈/NP
즈그/NP
즈네/NP
즈놈/NP
즈이/NP
즤/NP
지/NP
지네/NP
짐/NP
쩌짝/NP
쩌쪽/NP
첩/NP
친구/NP
표준어/NP
하나/NP
하시/NP
한준희/NP
형씨/NP
후자/NP
/undefined
