ㅋ/IC
ㅋㅋ/IC
ㅋㅋㅋ/IC
ㅎ/IC
ㅎㅎ/IC
ㅎㅎㅎ/IC
가오티/NNG
갑툭튀/NNG
강퇴/NNG
개드립/NNG
갠소/NNG
고퀄/NNG
공홈/NNG
광삭/NNG
광탈/NNG
굉천/NNG
국을/NNG
귀요미/NNG
귀척/NNG
글설리/NNG
김여사/NNG
깜놀/NNG
나베르/NNG
남친/NNG
냉무/NNG
넘사벽/NNG
네티즌/NNG
넹버/NNG
넹이버/NNG
놀토/NNG
뇌섹남/NNG
뇌섹녀/NNG
뇬/NNG
뉸/NNG
다큐/NNG
당므/NNG
대인배/NNG
듄/NNG
득템/NNG
듣보잡/NNG
들녁/NNG
딩크/NNG
떡실신/NNG
레알/MAG
렙업/NNG
만렙/NNG
멘탈/NNG
몰카/NNG
몸짱/NNG
반반무/NNG
반반무마니/NNG
발연기/NNG
발컨/NNG
백섭/NNG
번개팅/NNG
병맛/NNG
본캐/NNG
부캐/NNG
불금/NNG
브금/NNG
비됴/NNG
빛삭/NNG
빵셔틀/NNG
뽀다구/NNG
뽀대/NNG
뽀샵/NNG
뿜다/NNG
사캐/NNG
색기/NNG
색히/NNG
샨새교/NNG
셀카/NNG
셀피/NNG
솔까말/MAG
스빈다/EF
스압/NNG
썩소/NNG
썸남/NNG
썸녀/NNG
아오안/NNG
아찌/NNG
안습/NNG
애냑마/NNG
애플힙/NNG
어쩔/NNG
엄친아/NNG
에뮬/NNG
여병추/NNG
여친/NNG
열공/NNG
열폭/NNG
옘병/NNG
오나전/MAG
오나전/XR
오덕후/NNG
옥희/NNG
운지/NNG
움짤/NNG
은꼴사/NNG
이뭐병/NNG
자삭/NNG
절친/NNG
정팅/NNG
제곧내/NNG
젭라/MAG
종결자/NNG
즐/XPN
지롤/NNG
지름신/NNG
지못미/IC
직찍/NNG
짐승남/NNG
짐승돌/NNG
짤방/NNG
짱/NNG
쩐/VV
찌질/NNG
찌질이/NNG
찐따/NNG
차도남/NNG
초딩/NNG
쵸재깅/NNG
충공깽/NNG
츄리닝/NNG
치맥/NNG
치유물/NNG
캐/XPN
캐릭/NNG
캐미/NNG
코렁탕/NNG
쿨타임/NNG
킹왕짱/NNG
템/NNG
트친/NNG
특목고/NNG
팀킬/NNG
폭렬/NNG
품절남/NNG
품절녀/NNG
헐/IC
헐ㅋ/IC
헐퀴/IC
현피/NNG
호옹이/NNG
홈피/NNG
훼이크/NNG
흠좀무/NNG
히밤/IC
/undefined
