경/NR
공/NR
공팔일칠/NR
구/NR
구만/NR
구백/NR
구사/NR
구십/NR
구조/NR
구천/NR
구천오백/NR
기만/NR
기백/NR
기백만/NR
기백억/NR
기십/NR
기십만/NR
기십억/NR
기억/NR
기천/NR
기천만/NR
기천억/NR
나인/NR
너다섯/NR
너댓/NR
너덧/NR
너덧째/NR
넉/NR
네다섯/NR
네댓/NR
네째/NR
넷/NR
넷째/NR
농구/NR
니/NR
다서/NR
다섯/NR
다섯째/NR
닷/NR
대여섯/NR
대여섯째/NR
대엿/NR
댓/NR
두서너댓/NR
두서넛/NR
두세째/NR
두셋/NR
두엇/NR
두울/NR
두째/NR
둘/NR
둘째/NR
둘쨋/NR
라디오/NR
륙/NR
륙백/NR
륙십/NR
마흔/NR
마흔다섯/NR
마흔셋/NR
마흔여덟/NR
마흔여섯/NR
마흔일곱/NR
마흔째/NR
만/NR
만오천/NR
만이천/NR
멧/NR
멫/NR
몃/NR
몇/NR
몇몃/NR
몇몇/NR
몇백/NR
몇십/NR
몇이/NR
미묘/NR
백/NR
백구십/NR
백두째/NR
백만/NR
백삼십칠/NR
백수십/NR
백스무째/NR
백스물/NR
백스물하나/NR
백스물한째/NR
백십/NR
백십일/NR
백억/NR
백열/NR
백열째/NR
백열하나/NR
백열한째/NR
백오십/NR
백육십/NR
백육십구/NR
백이십/NR
백이십만/NR
백이십육만/NR
백이십팔/NR
백일/NR
백일흔/NR
백조/NR
백째/NR
백천/NR
백칠십/NR
백칠십오만/NR
백팔/NR
백팔십/NR
백하나/NR
백한째/NR
번/NR
빵/NR
사/NR
사만/NR
사백/NR
사백만/NR
사십/NR
사십구/NR
사십만/NR
사십삼/NR
사십오/NR
사십팔/NR
사오/NR
사오만/NR
사오백/NR
사오십/NR
사오십만/NR
사오천/NR
사일구/NR
사일삼/NR
사천/NR
사천만/NR
사칠/NR
사팔육/NR
삼/NR
삼만/NR
삼만천/NR
삼백/NR
삼백만/NR
삼백예순/NR
삼백오십/NR
삼백육십/NR
삼백육십오/NR
삼사/NR
삼사만/NR
삼사백/NR
삼사십/NR
삼사천/NR
삼십/NR
삼십구/NR
삼십만/NR
삼십삼/NR
삼십오/NR
삼십육/NR
삼십칠만/NR
삼십팔/NR
삼억/NR
삼천/NR
삼천만/NR
삼천사백오십육만/NR
삼천육백/NR
삼팔/NR
삽/NR
삽십/NR
서너째/NR
서넛/NR
서른/NR
서른다섯/NR
서른둘/NR
서른셋/NR
서른아홉/NR
서른여덟/NR
서른여섯/NR
서른일곱/NR
서른째/NR
설흔/NR
세째/NR
세칸드/NR
셋/NR
셋째/NR
수만/NR
수만억/NR
수백/NR
수백만/NR
수백억/NR
수십/NR
수십만/NR
수십억/NR
수십조/NR
수억/NR
수억만/NR
수조/NR
수천/NR
수천만/NR
수천억/NR
쉬흔/NR
쉰/NR
쉰네/NR
쉰여나문/NR
쉰일곱/NR
쉰째/NR
쉰하나/NR
스른/NR
스무남은/NR
스무남은째/NR
스무째/NR
스물/NR
스물넉/NR
스물네/NR
스물넷/NR
스물다섯/NR
스물대여섯/NR
스물두/NR
